City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Jinka,ET,2022-07-17 19:50:47,5.65,36.65,66.15,64,72,4.18
121,Bluff,NZ,2022-07-17 19:50:48,-46.6,168.3333,51.8,61,100,22.88
122,Sao Joao Da Barra,BR,2022-07-17 19:47:41,-21.6403,-41.0511,80.69,84,100,18.97
123,Nyurba,RU,2022-07-17 19:50:48,63.2842,118.3319,54.64,98,94,4.81
124,Palivere,EE,2022-07-17 19:50:49,58.9664,23.8911,58.73,72,49,7.14
125,Buraydah,SA,2022-07-17 19:50:49,26.326,43.975,91.85,11,18,8.66
126,Longyearbyen,SJ,2022-07-17 19:50:50,78.2186,15.6401,55.24,82,75,3.44
127,Ahipara,NZ,2022-07-17 19:50:50,-35.1667,173.1667,50.2,80,95,5.41
128,Limbang,MY,2022-07-17 19:50:50,4.75,115.0,77.11,86,100,1.01
129,Faya,SA,2022-07-17 19:50:51,18.3851,42.4509,69.91,41,28,4.72
130,Coahuayana,MX,2022-07-17 19:47:06,18.7333,-103.6833,90.09,59,70,7.85
131,Xining,CN,2022-07-17 19:50:51,36.6167,101.7667,54.27,88,100,0.69
132,Roald,NO,2022-07-17 19:50:52,62.5833,6.1333,59.92,88,75,14.97
133,Saquarema,BR,2022-07-17 19:50:52,-22.92,-42.5103,82.54,62,9,10.09
134,Saint-Augustin,CA,2022-07-17 19:50:52,51.226,-58.6502,64.71,75,100,17.87
135,Batemans Bay,AU,2022-07-17 19:47:45,-35.7167,150.1833,51.1,51,0,11.72
136,Avera,US,2022-07-17 19:50:53,33.194,-82.5271,92.55,39,29,8.03
137,Touros,BR,2022-07-17 19:50:53,-5.1989,-35.4608,78.31,78,76,17.22
138,Ruston,US,2022-07-17 19:50:54,32.5232,-92.6379,98.58,38,75,4.61
139,Castro,BR,2022-07-17 19:51:54,-24.7911,-50.0119,66.83,76,100,1.86
140,Canar,EC,2022-07-17 19:51:54,-2.55,-78.9333,59.04,77,58,4.59
141,Barrow,US,2022-07-17 19:51:55,71.2906,-156.7887,37.42,87,100,17.27
142,Puerto Escondido,MX,2022-07-17 19:51:55,15.85,-97.0667,86.0,63,100,6.91
143,Mayo,US,2022-07-17 19:47:44,38.8876,-76.5119,87.13,79,0,8.05
144,Thinadhoo,MV,2022-07-17 19:51:55,0.5333,72.9333,79.16,80,100,20.74
145,Tiksi,RU,2022-07-17 19:51:56,71.6872,128.8694,38.07,75,100,5.93
146,Krasnoselkup,RU,2022-07-17 19:51:56,65.7,82.4667,51.82,82,19,10.33
147,Turukhansk,RU,2022-07-17 19:51:57,65.8167,87.9833,53.76,69,13,11.14
148,Flinders,AU,2022-07-17 19:51:57,-34.5833,150.8552,53.26,74,5,10.0
149,Nalut,LY,2022-07-17 19:51:57,30.3333,10.85,87.91,18,0,11.65
150,Padang,ID,2022-07-17 19:51:58,-0.9492,100.3543,76.6,79,12,4.16
151,Inta,RU,2022-07-17 19:51:58,66.0317,60.1659,60.98,86,0,7.94
152,Oppdal,NO,2022-07-17 19:51:58,62.5943,9.6912,50.18,85,25,2.35
153,Camacupa,AO,2022-07-17 19:51:59,-12.0167,17.4833,60.24,36,7,3.65
154,Vila Franca Do Campo,PT,2022-07-17 19:51:59,37.7167,-25.4333,70.21,78,39,7.11
155,Mahebourg,MU,2022-07-17 19:51:59,-20.4081,57.7,70.25,56,20,19.57
156,Sao Filipe,CV,2022-07-17 19:48:20,14.8961,-24.4956,75.42,79,61,14.81
157,Kaitangata,NZ,2022-07-17 19:52:00,-46.2817,169.8464,43.83,89,77,5.44
158,Neuquen,AR,2022-07-17 19:47:47,-38.9516,-68.0591,53.49,50,75,9.22
159,Talnakh,RU,2022-07-17 19:52:00,69.4865,88.3972,54.21,68,94,2.19
