WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
210,Verkhnyaya Inta,RU,65.9811,60.3094,65.44,59,0,17.85,clear sky
211,Broken Hill,AU,-31.95,141.4333,42.71,63,100,9.46,overcast clouds
212,Fort Nelson,CA,58.8053,-122.7002,67.59,83,75,18.41,broken clouds
213,Namangan,UZ,40.9983,71.6726,81.05,47,0,6.91,clear sky
214,Esperance,AU,-33.8667,121.9,53.69,89,96,12.28,overcast clouds
215,Turtas,RU,58.9417,69.1325,60.57,68,11,1.86,few clouds
216,Bilibino,RU,68.0546,166.4372,34.43,78,50,2.89,scattered clouds
217,Nuristan,AF,35.3,70.8333,53.19,72,12,3.38,few clouds
218,Tete,MZ,-16.1564,33.5867,76.08,52,99,7.36,overcast clouds
219,Emerald,AU,-23.5333,148.1667,48.34,77,0,7.87,clear sky
220,Klaksvik,FO,62.2266,-6.589,52.72,86,100,14.45,overcast clouds
221,Portland,US,45.5234,-122.6762,82.78,56,0,3.0,clear sky
222,Fort Smith,US,35.3859,-94.3986,103.17,34,0,7.78,clear sky
223,Avarua,CK,-21.2078,-159.775,73.45,68,20,5.75,few clouds
224,Sabang,ID,5.8933,95.3214,82.81,75,100,18.9,overcast clouds
225,Abilene,US,32.4487,-99.7331,111.18,18,68,3.0,broken clouds
226,Cidreira,BR,-30.1811,-50.2056,60.51,74,77,7.92,broken clouds
227,Macamic,CA,48.7502,-78.9996,73.26,50,8,8.01,clear sky
228,Prince Rupert,CA,54.3161,-130.3201,57.29,91,100,5.75,overcast clouds
229,Sao Filipe,CV,14.8961,-24.4956,78.1,81,92,7.78,overcast clouds
230,Tilichiki,RU,60.4667,166.1,55.13,88,37,5.97,scattered clouds
231,Campoverde,PE,-8.4753,-74.8058,85.69,44,81,2.89,broken clouds
232,Labuhan,ID,-6.8844,112.2051,75.51,85,59,7.83,broken clouds
233,Gabane,BW,-24.6667,25.7822,63.43,45,0,3.44,clear sky
234,Nuevitas,CU,21.5453,-77.2644,87.08,63,10,13.0,clear sky
235,Mahibadhoo,MV,3.7833,72.9667,82.26,77,100,16.04,moderate rain
236,Quepos,CR,9.4236,-84.1652,82.96,80,100,4.07,overcast clouds
237,Narva-Joesuu,EE,59.4589,28.0408,62.37,78,18,10.2,few clouds
238,Katherine,AU,-14.4667,132.2667,61.12,72,87,3.44,overcast clouds
239,Kanye,BW,-24.9667,25.3327,57.96,44,99,8.61,overcast clouds
240,Olafsvik,IS,64.8945,-23.7142,53.6,74,90,11.77,overcast clouds
241,Majdanpek,RS,44.4277,21.946,65.14,43,0,3.42,clear sky
242,Lvovskiy,RU,55.3142,37.5158,63.55,91,18,6.38,few clouds
243,Rocha,UY,-34.4833,-54.3333,54.97,60,0,7.27,clear sky
244,La Asuncion,VE,11.0333,-63.8628,94.73,52,3,14.97,clear sky
245,Dong Hoi,VN,17.4833,106.6,81.91,81,100,3.98,overcast clouds
246,Kodinsk,RU,58.6881,99.1844,50.97,97,6,4.29,clear sky
247,Milverton,CA,43.5668,-80.9164,88.99,46,5,1.99,clear sky
248,Villa Carlos Paz,AR,-31.4241,-64.4978,64.38,24,0,11.99,clear sky
249,Rantauprapat,ID,2.1,99.8333,73.81,99,94,1.86,overcast clouds
250,Deputatskiy,RU,69.3,139.9,32.36,99,100,4.88,light snow
251,Bahia Blanca,AR,-38.7196,-62.2724,59.25,26,7,17.98,clear sky
252,Poum,NC,-20.2333,164.0167,75.58,86,5,10.65,clear sky
253,Natchitoches,US,31.7668,-93.1335,94.98,49,40,9.22,scattered clouds
254,Gazanjyk,TM,39.2446,55.5154,92.62,14,0,9.22,clear sky
255,Jackson,US,42.4165,-122.8345,87.93,39,0,1.99,clear sky
256,Ucluelet,CA,48.9329,-125.5528,62.91,87,9,4.0,clear sky
257,The Valley,AI,18.217,-63.0578,87.66,70,40,17.27,haze
258,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,88.65,33,99,3.18,overcast clouds
259,Severo-Kurilsk,RU,50.6789,156.125,51.69,97,100,11.86,overcast clouds
260,Mbeya,TZ,-8.9,33.45,55.4,88,57,7.09,broken clouds
261,Spassk-Dalniy,RU,44.5978,132.8211,62.55,96,14,1.1,few clouds
