City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
597,Ankang,CN,65.84,overcast clouds,32.68,109.0172,安琪酒店
598,Vila Franca Do Campo,PT,72.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
600,Datong,CN,68.34,overcast clouds,40.0936,113.2914,Holiday Inn Datong City Centre
606,Kapuskasing,CA,78.64,broken clouds,49.4169,-82.4331,Park Inn Motel
607,Kimbe,PG,74.41,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
610,Kieta,PG,76.98,light rain,-6.2167,155.6333,Uruna Bay Retreat
616,Praia,CV,78.6,overcast clouds,14.9215,-23.5087,LT Aparthotel
617,Goma,CD,67.1,broken clouds,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
620,Monforte De Lemos,ES,70.57,clear sky,42.5216,-7.5142,Hotel Cardenal
621,Mtwara,TZ,70.27,clear sky,-10.2667,40.1833,TIL Hotels Mtwara
625,Eyl,SO,76.69,scattered clouds,7.9803,49.8164,Amiin Hotel
628,Camacha,PT,71.02,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
630,Ouadda,CF,68.05,light rain,8.0777,22.4007,
632,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
634,Touros,BR,79.72,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
639,Ryotsu,JP,75.0,scattered clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
640,Patancheru,IN,77.86,scattered clouds,17.5314,78.265,Sri Ganapathi Lodge
644,Caohe,CN,78.31,overcast clouds,30.2297,115.4335,Ai Jing Hotel
647,Taga,RO,73.72,broken clouds,46.95,24.05,
649,Tianpeng,CN,68.52,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
652,Los Llanos De Aridane,ES,71.35,broken clouds,28.6585,-17.9182,Valle Aridane
657,Mata Grande,BR,71.87,broken clouds,-9.1175,-37.7322,Hotel Casarão
659,Hof,DE,78.03,scattered clouds,50.3167,11.9167,Hotel Burghof
666,Risor,NO,65.28,overcast clouds,58.7206,9.2342,Risør Hotel
669,Nanlong,CN,67.84,broken clouds,31.3533,106.0631,Demei Hotel
673,Itarsi,IN,74.52,overcast clouds,22.6167,77.75,Hotel Vinayak Residency
674,Alangayam,IN,78.17,overcast clouds,12.6,78.75,Vinoth Lodge
675,Namatanai,PG,78.17,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
678,Tura,IN,74.88,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
683,Golubitskaya,RU,66.61,clear sky,45.3222,37.2822,Parus
